Year,State,Count
2018,Johor,328
2018,Kedah,543
2018,Kelantan,799
2018,Melaka,895
2018,Negeri Sembilan,566
2018,Pahang,954
2018,Perak,332
2018,Perlis,837
2018,Pulau Pinang,515
2018,Sabah,216
2018,Sarawak,171
2018,Selangor,228
2018,Terengganu,770
2018,WP Kuala Lumpur,467
2018,WP Labuan,166
2018,WP Putrajaya,75
2019,Johor,428
2019,Kedah,533
2019,Kelantan,867
2019,Melaka,534
2019,Negeri Sembilan,702
2019,Pahang,813
2019,Perak,372
2019,Perlis,811
2019,Pulau Pinang,506
2019,Sabah,273
2019,Sarawak,241
2019,Selangor,210
2019,Terengganu,916
2019,WP Kuala Lumpur,467
2019,WP Labuan,249
2019,WP Putrajaya,74
2020,Johor,428
2020,Kedah,482
2020,Kelantan,717
2020,Melaka,521
2020,Negeri Sembilan,585
2020,Pahang,726
2020,Perak,343
2020,Perlis,698
2020,Pulau Pinang,431
2020,Sabah,213
2020,Sarawak,283
2020,Selangor,168
2020,Terengganu,993
2020,WP Kuala Lumpur,359
2020,WP Labuan,603
2020,WP Putrajaya,71
2021,Johor,350
2021,Kedah,615
2021,Kelantan,614
2021,Melaka,560
2021,Negeri Sembilan,553
2021,Pahang,626
2021,Perak,393
2021,Perlis,731
2021,Pulau Pinang,461
2021,Sabah,166
2021,Sarawak,200
2021,Selangor,186
2021,Terengganu,944
2021,WP Kuala Lumpur,322
2021,WP Labuan,439
2021,WP Putrajaya,220
2022,Johor,356
2022,Kedah,611
2022,Kelantan,728
2022,Melaka,567
2022,Negeri Sembilan,533
2022,Pahang,760
2022,Perak,465
2022,Perlis,730
2022,Pulau Pinang,516
2022,Sabah,241
2022,Sarawak,317
2022,Selangor,184
2022,Terengganu,1122
2022,WP Kuala Lumpur,306
2022,WP Labuan,447
2022,WP Putrajaya,340
2023,Johor,389
2023,Kedah,639
2023,Kelantan,749
2023,Melaka,536
2023,Negeri Sembilan,577
2023,Pahang,791
2023,Perak,462
2023,Perlis,957
2023,Pulau Pinang,550
2023,Sabah,238
2023,Sarawak,384
2023,Selangor,203
2023,Terengganu,997
2023,WP Kuala Lumpur,302
2023,WP Labuan,455
2023,WP Putrajaya,384
2024,Johor,447
2024,Kedah,790
2024,Kelantan,980
2024,Melaka,664
2024,Negeri Sembilan,536
2024,Pahang,704
2024,Perak,566
2024,Perlis,884
2024,Pulau Pinang,700
2024,Sabah,200
2024,Sarawak,369
2024,Selangor,290
2024,Terengganu,925
2024,WP Kuala Lumpur,457
2024,WP Labuan,395
2024,WP Putrajaya,374
